اسم اللاعب;العمر;المركز;عدد التمريرات;دقة التمريرات (%);عدد التسديدات;عدد الأهداف;نسبة النجاح في المواجهات (%);السرعة القصوى (كم/س);المسافة المقطوعة (كم);معدل نبض القلب;نسبة التعب في نهاية الشوط;التقييم العام;تصنيف اللاعب
محمد العتيبي;23;هجوم;18;72.28;5;3;81.7;26.46;8.74;159;34.40;45.40;موهوب
محمد الزهراني;24;وسط;51;74.62;0;1;61.18;24.95;8.54;151;43.91;46.24;موهوب
عبدالله الزهراني;24;هجوم;9;89.62;0;1;68.02;27.45;11.90;138;20.93;40.66;غير موهوب
راكان العنزي;22;هجوم;31;77.84;4;2;67.49;25.91;7.95;177;14.06;45.25;موهوب
خالد البلوي;19;وسط;55;93.76;0;0;60.97;32.29;9.46;131;14.81;44.14;غير موهوب
سالم العتيبي;23;حارس;50;88.09;1;1;83.07;27.18;8.56;149;19.73;47.52;موهوب
أحمد الرويلي;19;حارس;52;63.83;3;1;59.83;32.15;9.06;148;40.17;45.45;موهوب
عبدالله العنزي;20;دفاع;89;61.32;8;0;84.42;24.91;10.51;146;48.36;52.50;موهوب
راكان الحربي;19;حارس;59;63.82;5;0;80.04;31.07;10.64;166;38.70;50.47;موهوب
ناصر العنزي;20;هجوم;23;65.37;0;0;83.82;32.29;10.28;149;18.74;42.50;غير موهوب
خالد الرويلي;25;وسط;37;84.33;0;2;75.03;25.91;6.62;156;23.10;45.55;موهوب
عبدالله الزهراني;28;دفاع;30;92.35;0;0;84.58;25.51;6.09;173;20.63;48.02;موهوب
سعود الحربي;26;دفاع;10;68.33;4;2;72.66;31.11;8.87;135;16.99;38.77;غير موهوب
ناصر الغامدي;25;دفاع;78;72.08;1;0;58.68;29.74;6.81;156;26.16;47.61;موهوب
عبدالله الشمري;20;هجوم;66;71.76;0;2;56.51;31.35;9.43;141;19.09;44.13;غير موهوب
فهد العتيبي;27;دفاع;67;74.98;6;5;81.41;31.43;11.15;170;26.50;52.61;موهوب
محمد الرويلي;17;دفاع;81;76.66;2;3;66.04;30.00;7.10;151;48.50;51.70;موهوب
فهد الحربي;27;حارس;31;74.21;3;3;43.12;27.34;7.49;171;12.23;41.38;غير موهوب
سعود الحربي;29;حارس;78;92.46;10;3;56.51;31.70;6.92;168;12.21;50.98;موهوب
خالد الحربي;27;وسط;13;90.68;8;6;73.96;32.93;7.66;144;38.36;46.07;موهوب
فهد العتيبي;24;وسط;17;68.86;5;3;62.43;30.58;9.02;129;28.74;39.29;غير موهوب
سالم العتيبي;19;حارس;40;75.21;3;0;76.28;26.38;8.18;172;31.80;48.09;موهوب
خالد الشمري;18;هجوم;35;75.64;7;2;46.73;29.86;9.55;146;33.95;42.86;غير موهوب
سالم المالكي;20;دفاع;23;81.90;4;2;76.05;30.99;9.50;148;18.89;43.81;غير موهوب
سالم البلوي;25;حارس;84;65.20;5;0;79.13;32.44;8.03;137;42.88;50.41;موهوب
تركي البلوي;21;وسط;84;71.24;9;2;53.85;32.00;7.76;163;28.71;50.17;موهوب
أحمد الرويلي;22;حارس;42;75.56;6;2;43.73;29.69;6.77;149;39.28;43.78;غير موهوب
راكان الغامدي;21;دفاع;66;66.77;5;0;66.76;26.73;7.97;148;23.19;45.60;موهوب
فهد الرويلي;23;وسط;75;86.29;0;0;58.85;31.27;8.41;148;42.00;49.98;موهوب
أحمد الشمري;26;وسط;58;73.67;4;0;76.92;33.20;6.74;178;30.81;51.26;موهوب
أحمد الغامدي;24;وسط;81;68.48;11;1;76.17;26.61;10.05;134;12.07;46.71;موهوب
ناصر الزهراني;18;وسط;18;86.61;6;5;83.73;28.73;8.89;116;15.33;40.92;غير موهوب
راكان القحطاني;24;وسط;27;63.03;8;4;41.5;31.06;9.84;174;34.86;43.70;غير موهوب
سالم المالكي;23;حارس;21;87.50;5;5;82.27;26.70;8.89;153;13.14;44.72;غير موهوب
فهد العتيبي;21;هجوم;61;85.94;0;0;52.02;25.04;8.38;139;13.24;42.74;غير موهوب
سعود البلوي;20;دفاع;48;60.13;1;0;82.02;33.43;10.30;132;20.61;43.05;غير موهوب
أحمد الغامدي;26;وسط;36;66.57;9;6;45.16;30.30;6.58;157;13.81;41.16;غير موهوب
فهد الزهراني;20;وسط;60;94.75;8;4;69.78;27.61;9.49;129;45.18;49.76;موهوب
تركي الرويلي;27;دفاع;47;76.07;9;0;76.56;29.95;9.46;144;42.85;48.32;موهوب
فهد الشمري;24;وسط;42;64.33;8;2;79.81;26.12;8.62;146;24.94;44.65;غير موهوب
سعود الزهراني;21;هجوم;79;90.60;3;0;45.91;28.47;8.94;167;14.65;48.62;موهوب
سعود الزهراني;16;حارس;50;73.43;8;4;74.71;29.19;9.46;130;26.93;45.08;موهوب
ناصر القحطاني;20;وسط;49;86.01;4;1;44.22;27.20;7.40;144;48.73;45.73;موهوب
خالد البلوي;24;حارس;60;88.74;7;6;72.38;29.25;6.86;138;33.82;49.12;موهوب
ناصر العتيبي;19;حارس;53;93.37;6;5;62.66;32.52;10.59;145;27.71;48.43;موهوب
سالم الزهراني;29;وسط;39;74.39;3;2;52.47;28.67;10.24;178;14.89;44.74;غير موهوب
ناصر العتيبي;20;وسط;46;66.47;7;3;60.39;33.69;7.82;174;23.61;46.89;موهوب
سعود العنزي;26;حارس;58;62.94;3;1;53.77;29.95;6.28;144;48.95;45.32;موهوب
سعود الرويلي;16;حارس;42;73.17;6;0;41.45;25.72;8.67;121;17.06;37.23;غير موهوب
راكان المالكي;24;هجوم;34;60.20;3;5;55.02;30.56;6.22;134;39.65;40.85;غير موهوب
سعود العتيبي;30;حارس;42;75.53;6;3;57.79;29.95;6.99;126;16.36;40.40;غير موهوب
ناصر الزهراني;28;دفاع;18;80.91;6;1;66.84;34.04;10.02;160;16.24;43.67;غير موهوب
محمد الزهراني;25;دفاع;61;89.96;8;4;81.22;33.62;9.04;173;32.39;54.69;موهوب
راكان الرويلي;17;دفاع;56;86.74;5;3;70.03;24.60;9.19;165;26.24;49.53;موهوب
محمد الغامدي;21;هجوم;35;60.01;9;5;76.85;28.97;5.93;139;30.89;43.41;غير موهوب
راكان المالكي;17;هجوم;68;73.60;11;4;81.44;30.92;11.47;169;27.55;53.00;موهوب
تركي المالكي;19;حارس;85;74.82;5;1;58.28;28.53;9.01;168;42.99;52.51;موهوب
سالم العتيبي;16;حارس;23;74.82;6;1;40.43;31.13;10.79;165;47.54;44.41;غير موهوب
سالم الغامدي;22;وسط;32;67.03;2;5;72.89;25.21;11.61;175;25.82;46.28;موهوب
محمد الزهراني;24;هجوم;15;84.75;2;1;49.15;31.23;8.47;125;29.66;38.47;غير موهوب
سعود الغامدي;20;حارس;55;76.51;6;2;56.96;29.09;9.59;129;24.35;43.17;غير موهوب
خالد الزهراني;18;دفاع;39;72.53;8;0;53.26;30.19;8.21;148;18.76;41.99;غير موهوب
سالم العنزي;19;حارس;19;73.87;3;3;79.45;28.30;7.81;125;28.65;40.90;غير موهوب
فهد العنزي;25;حارس;18;91.65;2;0;77.31;29.58;8.12;126;27.49;42.24;غير موهوب
خالد الزهراني;18;حارس;53;84.96;7;4;60.08;33.13;8.94;125;11.57;43.07;غير موهوب
ناصر العتيبي;18;دفاع;32;66.69;1;0;76.49;27.18;8.70;179;41.66;48.08;موهوب
راكان العتيبي;16;حارس;26;73.92;4;3;54.02;29.67;8.62;151;42.29;43.61;غير موهوب
سعود الزهراني;26;دفاع;13;73.95;3;1;65.17;30.09;7.29;156;31.57;42.34;غير موهوب
محمد المالكي;24;حارس;73;94.22;7;1;67.09;29.86;8.28;147;34.35;51.31;موهوب
محمد القحطاني;30;دفاع;24;63.18;8;0;48.43;33.43;7.92;125;22.21;36.91;غير موهوب
عبدالله البلوي;17;وسط;49;75.19;7;4;84.16;32.63;7.70;174;25.37;51.00;موهوب
خالد الرويلي;23;وسط;63;90.17;5;0;65.5;24.90;6.65;178;47.37;53.40;موهوب
عبدالله المالكي;17;دفاع;70;84.49;9;4;45.07;27.41;11.32;132;26.77;45.56;موهوب
سالم البلوي;27;وسط;78;74.25;5;0;59.32;32.54;10.34;138;38.99;48.49;موهوب
عبدالله الرويلي;18;هجوم;70;74.92;7;1;84.49;29.95;9.97;180;22.84;53.35;موهوب
عبدالله البلوي;26;هجوم;41;60.80;2;0;63.77;26.11;8.24;129;16.18;38.57;غير موهوب
سعود الشمري;27;وسط;79;78.93;7;0;81.16;25.20;11.42;119;36.51;48.69;موهوب
عبدالله القحطاني;19;هجوم;71;61.71;11;1;82.25;31.69;9.11;131;14.33;45.90;موهوب
سالم الحربي;15;هجوم;72;75.75;0;0;80.15;27.84;10.14;131;37.78;48.30;موهوب
ناصر العتيبي;22;حارس;34;78.06;8;4;82.59;25.00;6.69;180;24.37;49.19;موهوب
تركي القحطاني;20;حارس;62;69.41;6;4;53.73;25.97;6.32;144;34.50;45.10;موهوب
أحمد الرويلي;20;هجوم;50;82.22;5;3;71.61;25.09;11.37;144;21.98;46.03;موهوب
محمد القحطاني;20;حارس;39;84.72;2;0;78.04;32.59;10.91;144;38.41;47.74;موهوب
محمد الشمري;19;حارس;61;80.28;5;4;49.68;26.54;10.31;121;42.10;44.43;غير موهوب
تركي المالكي;20;دفاع;82;85.41;1;1;80.66;25.16;6.54;176;9.42;51.91;موهوب
ناصر العتيبي;19;وسط;56;76.54;8;3;69.25;31.23;9.09;177;36.45;51.84;موهوب
محمد الزهراني;26;دفاع;29;75.01;5;0;66.26;33.01;7.80;155;27.76;44.32;غير موهوب
أحمد الحربي;20;هجوم;63;84.28;6;4;50;28.42;6.57;130;34.54;45.20;موهوب
سالم الشمري;20;حارس;87;80.78;4;2;63.6;34.04;8.44;174;38.46;54.70;موهوب
سعود الرويلي;16;هجوم;34;63.41;6;0;56.88;32.42;6.75;175;26.78;44.58;غير موهوب
أحمد الشمري;25;دفاع;83;68.00;3;0;72.45;25.42;9.93;159;37.54;50.93;موهوب
محمد الحربي;20;وسط;21;62.59;11;1;70.8;33.74;7.06;141;44.28;43.61;غير موهوب
تركي الغامدي;18;هجوم;82;83.58;4;2;83.16;29.30;10.66;174;18.85;54.17;موهوب
فهد الحربي;20;وسط;22;63.13;2;3;76.09;30.47;9.48;134;19.94;40.01;غير موهوب
سعود المالكي;23;حارس;74;86.40;0;0;86.4;24.87;8.10;183;18.21;53.44;موهوب
تركي البلوي;23;حارس;61;85.90;2;1;52.71;29.49;6.98;170;48.51;50.84;موهوب
ناصر الحربي;24;هجوم;19;94.27;5;4;67.66;24.75;11.79;134;35.26;43.97;غير موهوب
عبدالله البلوي;25;وسط;85;87.40;4;2;72.25;33.48;6.48;135;18.00;49.29;موهوب
سعود الغامدي;18;هجوم;54;87.66;4;0;89.72;29.10;9.15;145;23.39;49.11;موهوب
تركي العنزي;27;حارس;87;75.09;2;0;50.24;27.63;10.11;183;45.57;53.40;موهوب
محمد الرويلي;23;دفاع;76;67.46;2;0;55.2;29.02;6.23;142;41.69;46.62;موهوب
ناصر المالكي;21;دفاع;40;87.43;2;1;52.26;33.98;10.75;137;12.30;41.86;غير موهوب
سعود القحطاني;23;حارس;73;68.69;4;3;88.63;28.07;8.94;160;38.76;52.57;موهوب
محمد العتيبي;23;هجوم;66;87.64;0;0;88.91;32.35;7.62;131;18.02;47.95;موهوب
فهد العتيبي;28;دفاع;36;89.82;2;1;46.68;27.87;6.65;155;13.22;42.03;غير موهوب
محمد البلوي;27;هجوم;20;90.69;6;5;54.61;31.74;9.48;174;22.93;46.05;موهوب
سعود القحطاني;20;حارس;85;70.90;5;0;75.37;32.21;8.22;142;24.02;49.19;موهوب
سالم الزهراني;27;وسط;85;75.61;3;1;87.59;26.07;11.08;128;40.91;50.92;موهوب
تركي العنزي;21;حارس;90;89.53;0;0;62.13;24.77;11.02;164;12.52;50.44;موهوب
خالد الشمري;22;هجوم;30;86.09;9;0;42.91;26.20;11.19;155;29.97;43.37;غير موهوب
تركي الحربي;23;حارس;48;75.41;4;1;89.96;25.84;9.08;154;12.13;46.60;موهوب
خالد المالكي;24;حارس;74;77.35;7;2;53.77;30.49;11.02;175;33.96;51.62;موهوب
محمد العنزي;22;دفاع;33;86.61;0;1;74.34;33.42;7.76;142;19.38;44.17;غير موهوب
عبدالله العنزي;24;هجوم;27;79.42;8;6;72.06;28.07;10.08;176;38.08;49.41;موهوب
أحمد العتيبي;22;دفاع;91;60.23;3;1;44.5;31.81;10.62;168;10.16;46.70;موهوب
ناصر الرويلي;24;هجوم;34;66.14;7;0;55.47;27.99;10.53;165;13.48;42.18;غير موهوب
راكان البلوي;24;دفاع;19;85.62;7;2;62.26;24.88;7.07;177;26.05;45.65;موهوب
أحمد العنزي;23;وسط;81;91.57;5;1;58.63;30.79;6.85;128;47.16;50.00;موهوب
سالم الزهراني;24;حارس;54;81.05;3;0;81.92;28.61;7.95;143;33.92;48.16;موهوب
تركي العنزي;17;وسط;57;84.64;1;0;45.89;27.79;9.11;141;40.73;45.24;موهوب
راكان العتيبي;16;حارس;13;75.72;0;0;45.99;26.95;10.34;139;44.65;39.52;غير موهوب
عبدالله الشمري;26;دفاع;41;91.65;3;1;40.38;29.33;10.74;177;34.81;47.66;موهوب
سالم البلوي;16;دفاع;63;85.04;9;4;51.27;23.86;9.71;143;10.77;44.40;غير موهوب
عبدالله الغامدي;30;دفاع;58;92.81;7;1;78.33;25.56;9.06;167;36.79;52.84;موهوب
سعود العتيبي;19;حارس;22;68.28;5;5;49.42;23.86;6.64;164;16.90;40.12;غير موهوب
عبدالله الشمري;28;دفاع;40;66.37;6;3;49.93;26.96;8.15;165;21.95;43.04;غير موهوب
سالم القحطاني;19;هجوم;73;77.00;6;4;84.49;23.66;9.26;164;44.23;53.96;موهوب
أحمد الشمري;19;دفاع;36;65.50;3;1;54.89;24.27;8.45;125;35.55;39.29;غير موهوب
فهد القحطاني;16;حارس;81;87.95;4;2;54.37;29.16;8.88;121;20.54;45.43;موهوب
ناصر الرويلي;27;دفاع;51;86.20;8;4;72.59;33.92;9.99;131;11.21;45.32;موهوب
تركي العتيبي;24;هجوم;86;73.82;2;1;48.26;29.37;9.03;140;15.48;45.00;غير موهوب
راكان الحربي;23;وسط;67;80.53;1;0;59.04;29.21;7.62;155;38.44;48.65;موهوب
فهد الرويلي;16;حارس;76;66.77;9;3;54.66;28.65;7.26;133;35.43;45.97;موهوب
سالم الرويلي;30;هجوم;51;85.71;3;0;79.61;24.77;8.60;148;44.85;49.50;موهوب
أحمد الغامدي;23;دفاع;43;90.27;1;1;47.88;24.28;9.90;157;24.35;44.30;غير موهوب
راكان المالكي;24;حارس;7;66.81;1;0;58.56;25.88;9.55;166;20.28;39.45;غير موهوب
خالد البلوي;28;دفاع;66;70.65;11;4;51.66;31.12;8.94;170;51.19;51.62;موهوب
عبدالله البلوي;30;حارس;79;82.89;8;2;86.29;24.86;11.32;176;49.96;57.81;موهوب
راكان البلوي;27;وسط;54;66.53;7;3;49.17;33.36;10.01;118;39.87;42.33;غير موهوب
محمد العنزي;21;حارس;86;90.35;3;3;89.68;25.60;9.77;154;26.50;54.21;موهوب
راكان الحربي;26;وسط;42;93.56;4;0;60.7;24.63;10.94;129;49.48;46.04;موهوب
فهد المالكي;18;وسط;39;66.57;7;5;55.66;26.47;6.54;141;44.55;43.53;غير موهوب
عبدالله الزهراني;20;هجوم;52;60.37;2;1;86.28;31.01;11.06;137;26.74;45.27;موهوب
أحمد الغامدي;21;دفاع;7;93.26;3;6;45.77;26.53;8.83;136;45.85;41.36;غير موهوب
محمد البلوي;26;هجوم;29;74.37;5;2;50.73;31.07;10.09;151;43.01;44.03;غير موهوب
أحمد البلوي;21;وسط;70;65.38;6;2;61.26;32.62;7.54;138;31.95;46.08;موهوب
سالم البلوي;24;هجوم;67;64.45;5;2;71.98;25.51;7.62;163;24.43;47.89;موهوب
راكان الحربي;30;وسط;83;76.35;4;3;45.78;28.26;10.58;171;42.61;51.62;موهوب
خالد الزهراني;22;هجوم;36;75.90;4;3;44.29;29.45;7.02;145;16.49;40.13;غير موهوب
تركي الغامدي;26;هجوم;28;72.45;0;0;58.17;25.26;6.39;137;20.41;38.63;غير موهوب
خالد الزهراني;24;هجوم;32;72.08;5;3;86.82;32.82;7.17;173;31.47;49.26;موهوب
ناصر الشمري;24;وسط;45;68.51;8;3;78.04;33.02;8.50;148;49.26;49.04;موهوب
خالد العنزي;17;وسط;29;86.67;5;5;61.11;33.85;7.63;157;13.78;44.34;غير موهوب
عبدالله القحطاني;17;وسط;62;92.61;4;1;51.79;24.23;6.88;118;48.31;45.42;موهوب
أحمد العتيبي;25;دفاع;88;67.52;11;0;59.3;31.46;9.04;146;25.95;48.70;موهوب
راكان الزهراني;28;هجوم;64;77.02;0;1;44.53;28.23;7.03;156;17.83;43.96;غير موهوب
أحمد العنزي;21;هجوم;56;63.24;0;0;73.61;24.33;9.95;157;42.73;47.43;موهوب
محمد المالكي;26;وسط;14;91.74;0;0;86.51;29.82;11.93;169;28.72;47.97;موهوب
محمد الشمري;20;هجوم;61;61.19;2;1;46.99;32.13;7.48;185;24.68;46.83;موهوب
تركي الحربي;18;حارس;14;78.35;4;2;46.56;30.89;10.27;171;11.91;41.00;غير موهوب
عبدالله الزهراني;25;حارس;82;92.08;3;1;53.4;25.37;10.22;153;40.12;51.13;موهوب
خالد الزهراني;28;هجوم;21;67.91;11;5;64.53;29.53;7.11;123;37.85;40.77;غير موهوب
تركي الزهراني;16;حارس;12;83.04;12;3;56.58;28.13;10.60;154;44.58;44.88;غير موهوب
عبدالله المالكي;28;حارس;31;66.78;0;0;45.06;24.74;11.55;131;49.78;39.99;غير موهوب
محمد العنزي;23;هجوم;19;80.11;7;3;53.34;32.75;10.16;178;37.97;46.81;موهوب
سالم البلوي;16;وسط;94;78.66;4;1;63.06;33.55;9.41;148;33.31;51.67;موهوب
سالم الغامدي;28;وسط;56;70.74;3;4;41.8;31.54;11.79;174;25.23;46.46;موهوب
محمد الزهراني;20;دفاع;18;81.15;4;4;76.26;25.80;7.68;137;46.64;44.50;غير موهوب
ناصر العتيبي;23;وسط;32;90.27;4;0;64.22;26.04;11.10;127;22.39;41.89;غير موهوب
سعود الشمري;24;وسط;25;94.41;2;2;49.73;30.58;7.95;166;38.82;46.28;موهوب
خالد الغامدي;24;حارس;48;89.09;6;5;75.5;25.03;10.17;151;12.72;46.95;موهوب
أحمد البلوي;29;دفاع;24;65.30;4;0;66.15;28.62;9.23;152;26.77;41.79;غير موهوب
ناصر العتيبي;27;وسط;61;87.36;6;3;61.96;26.63;11.09;128;16.57;44.62;غير موهوب
محمد العنزي;17;هجوم;62;90.67;3;4;55.66;24.88;7.40;167;40.00;50.51;موهوب
سالم الزهراني;21;دفاع;81;75.91;7;4;78.94;32.48;10.05;120;18.12;47.50;موهوب
أحمد العنزي;17;حارس;27;80.46;9;3;73.32;29.11;7.98;130;46.21;45.12;موهوب
فهد الحربي;20;وسط;70;86.87;9;5;87.21;29.66;7.87;150;8.86;50.50;موهوب
سالم العتيبي;24;حارس;50;85.18;6;3;86.27;30.90;7.43;175;13.55;50.81;موهوب
خالد الحربي;25;حارس;55;72.28;11;4;58.07;29.37;6.11;167;39.78;49.18;موهوب
ناصر العنزي;27;هجوم;71;82.08;7;0;89.26;28.76;10.19;161;18.36;51.96;موهوب
ناصر القحطاني;29;حارس;28;70.34;8;1;43.97;27.29;9.59;138;45.08;41.25;غير موهوب
راكان العنزي;24;هجوم;21;79.77;3;4;44.97;33.06;7.34;154;48.91;44.00;غير موهوب
محمد الزهراني;25;وسط;59;73.36;1;2;86.14;32.83;6.45;154;35.42;50.02;موهوب
تركي المالكي;19;دفاع;66;71.03;3;0;89.33;27.14;10.99;179;49.00;55.05;موهوب
ناصر العتيبي;22;حارس;16;61.26;8;4;51.8;31.67;10.18;166;29.25;42.02;غير موهوب
سالم القحطاني;23;دفاع;20;63.09;1;0;87.89;34.35;11.22;155;38.37;45.66;موهوب
محمد البلوي;30;حارس;14;69.60;7;4;47.4;31.77;9.98;157;29.76;41.17;غير موهوب
سعود الشمري;22;دفاع;69;76.70;8;3;54.32;25.42;6.46;127;13.21;42.57;غير موهوب
عبدالله الحربي;23;حارس;86;86.25;10;5;85.46;28.83;8.28;174;38.50;58.04;موهوب
ناصر القحطاني;20;هجوم;56;81.18;2;2;71.6;32.63;10.86;158;10.09;47.15;موهوب
فهد القحطاني;17;حارس;54;67.77;0;0;71.67;25.34;9.02;147;29.24;44.89;غير موهوب
تركي الشمري;20;دفاع;58;81.57;0;2;43.78;29.69;10.22;134;9.30;40.95;غير موهوب
أحمد المالكي;18;حارس;57;73.05;1;2;46.06;25.19;9.97;135;29.63;42.10;غير موهوب
محمد العنزي;20;هجوم;28;62.40;1;1;56.29;32.73;8.14;135;35.27;39.98;غير موهوب
محمد الشمري;29;وسط;63;92.21;6;1;58.02;30.18;9.19;118;42.41;46.67;موهوب
تركي الرويلي;30;دفاع;17;74.71;4;1;43.01;28.33;7.92;127;22.51;36.16;غير موهوب
سالم الزهراني;22;هجوم;42;87.97;1;0;65.32;34.00;7.74;127;30.64;43.96;غير موهوب
عبدالله العنزي;24;حارس;92;68.49;3;0;87.57;31.44;10.48;146;34.46;52.60;موهوب
عبدالله الرويلي;22;حارس;30;86.54;1;1;78.01;29.08;11.02;125;48.23;45.54;موهوب
فهد الشمري;25;حارس;24;84.61;10;2;61.14;31.74;7.11;129;22.23;41.31;غير موهوب
أحمد المالكي;16;وسط;71;71.35;6;5;56.44;28.54;10.44;127;50.69;47.38;موهوب
راكان القحطاني;25;حارس;21;73.87;5;4;50.93;30.24;10.06;128;46.64;41.08;غير موهوب
عبدالله العتيبي;21;حارس;75;76.68;8;0;49.61;24.89;9.12;117;17.72;42.00;غير موهوب
